고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
840,석창포뿌리/줄기추출물,Acorus Gramineus Extract,Acorus Gramineus Root/Stem Extract,91745-11-8,"모발컨디셔닝제, 축모교정제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
841,향기제비꽃추출물,,Viola Odorata Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
842,펜테에리스리틸테트라에칠헥사노에이트,펜타에리스리틸테트라에칠헥사노에이트 (Pentaerythrityl Tetraethylhexanoate) ,Pentaerythrityl Tetraethylhexanoate ,7299-99-2,"	결합제, 피부컨디셔닝제(수분차단제), 점도증가제(비수성) ",A,C,AC,,,,,,,,,,,,,
843,쌀겨오일,,Oryza Sativa (Rice) Bran Oil,68553-81-1;84696-37-7,수분증발차단제,A,B,AB,,,,,,,,,,,,,
844,글라이콜스테아레이트에스이,,Glycol Stearate SE,86418-55-5,계면활성제(유화제),A,C,AC,,,,,,,,,,,,,
845,글리세릴라우레이트,,Glyceryl Laurate,142-18-7;27215-38-9;37318-95-9,"피부컨디셔닝제(유연제), 계면활성제(유화제)",B,C,BC,,,,,,,,,,,,,
846,피이지-10레이프씨드스테롤,,PEG-10 Rapeseed Sterol,,"계면활성제-세정제, 계면활성제-용해보조제",B,C,BC,,,,,,,,,,,,,
847,오레가노잎추출물,,Origanum Vulgare Leaf Extract,84012-24-8,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
848,서양고추나물꽃/잎/줄기추출물,Hypericum Extract;Otogirisou Ekisu (JPN);Saint John's Wort Extract,Hypericum Perforatum Flower/Leaf/Stem Extract,84082-80-4,피부컨디셔닝제,,,,,,H317,,,,,,,,,,
849,들깨오일,,Perilla Ocymoides Seed Oil,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
850,글리세레스-20,PEG-20 Glyceryl Ether;Polyethylene Glycol 1000 Glyceryl Ether;Polyoxyethylene (20) Glyceryl Ether,Glycereth-20,31694-55-0,"피부컨디셔닝제(보습제), 점도감소제",,,,,,H317,,,,,,,,,,
851,마그네슘피씨에이,,Magnesium PCA,5819-47-6,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,,,,,,
852,씨솔트,Maris Sal (EU);Pink Salt,Sea Salt;Maris Sal,7647-14-5;7732-18-5,"스크럽제, 피부보습제, 피부컨디셔닝제",A,A,AA,,,,,,H318,,,,,,,
853,오르니틴,"2,5-Diaminopentanoic Acid;2,5-Diaminovaleric Acid;Norvaline, 5-Amino-;ornithine (INN)",Ornithine,70-26-8;616-07-9,"헤어컨디셔닝제
피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
854,우레아,Carbamide;Urea Perhydrate;ureum (EP),Urea,57-13-6,"pH 완충제, 보습제, 피부보습제",B,A,BA,,H334,H317,,H351,,,,,,,,
855,글루코사민에이치씨엘,,Glucosamine HCl,66-84-2,pH 조절제,A,C,AC,,,,,,,,,,,,,
856,우릭애씨드,"7,9-Dihydro-1H-Purine-2,6,8(3H)-Trione;1H-Purine-2,6,8(3H)-Trione, 7,9-Dihydro-;Lithic Acid;2,6,8-Trioxypurine",Uric Acid,69-93-2,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
857,타우린,"Ethanesulfonic Acid, 2-Amino;taurine (INN);Taurine (RIFM)",Taurine,107-35-7,향료,A,B,AB,,,,,,,,,,,,,
858,시트룰린,"N5-(Aminocarbonyl)Ornithine;Ornithine, N5-(Aminocarbonyl)-;δ-Ureidonorvaline",Citrulline,372-75-8,피부컨디셔닝제,A,B,AB,,,,,,,,,,,,,
859,다이포타슘포스페이트,디포타슘포스페이트(Dipotassium Phosphate),Dipotassium Phosphate,7758-11-04,"부식방지제, pH 조정제",A,B,AB,,,,,,,,,,,,,
860,트립토판,1H-Indole-3-Alanine;DL-Tryptophan;tryptophan (INN);L-Tryptophan,Tryptophan,54-12-6;73-22-3,"향료, 모발컨디셔닝제",A,B,AB,,,,,,,,,,,,,
861,소듐락테이트,"2-Hydroxypropanoic Acid, Monosodium Salt;Propanoic Acid, 2-Hydroxy-, Monosodium Salt;Sodium α-Hydroxypropionate;Sodium Lactate Solution",Sodium Lactate,72-17-3;867-56-1,"pH 완충제, 각질제거제, 보습제",B,C,BC,,,,,,H318,,,,,,,
862,1-메틸하이단토인-2-이미드,1-메칠하이단토인-2-이미드(1-Methylhydantoin-2-Imide),1-Methylhydantoin-2-Imide,60-27-5,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
863,마그네슘시트레이트,,Magnesium Citrate,7779-25-1;6150-79-4;144-23-0,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
864,포믹애씨드,,Formic Acid,64-18-6,"착향제, pH 조정제, 살균보존제",A,B,AB,,,,H361,,H318,,,,,,,
865,마그네슘클로라이드,,Magnesium Chloride,7786-30-3;7791-18-6,"감미제, 점도증가제(수성)",A,B,AB,,,H317,,,H318,,,,,,,
866,아스파라진,"α-Aminosuccinamic Acid;L-Asparagine;Asparamide;Aspartamic Acid;L-Aspartamine;Aspartic Acid Amide;L-2,4-Diamino-4-Oxobutanic Acid",Asparagine,3130-87-8;5794-13-8;70-47-3,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
867,칼슘클로라이드,"calcii chloridum (EP);Calcium Chloride, Dihydrate;Calcium Dichloride",Calcium Chloride,10043-52-4,"수렴제, 점증제-수용성",A,B,AB,,,,,,,,,,,,,
868,카퍼트라이펩타이드-1,카퍼트리펩타이드-1(Copper Tripeptide-1),Copper Tripeptide-1,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
869,글루타민,,Glutamine,56-85-9;6899-04-3,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
870,쿼터늄-18벤토나이트,"Dimethyldistearyl Ammonium Bentonite;Quaternary Ammonium Compounds, Bis(Hydrogenated Tallow Alkyl)Dimethyl, Chlorides, Reaction Products with Bentonite",Quaternium-18 Bentonite,1340-69-8;68953-58-2,현탁화제-비계면활성제,A,C,AC,,,,,,,,,,,,,
871,페퍼민트잎추출물,Mentha Piperita Extract;Pepperment leaves (Mentha piperita L.) (RIFM);Peppermint Extract;Peppermint Leaf Extract,Mentha Piperita (Peppermint) Leaf Extract,84082-70-2,"향료, 피부컨디셔닝제, 수분증발차단제",A,C,AC,R,,,,,,,,,,,,
872,황산앵초추출물,카우슬립추출물 (Primula Veris Extract),Primula Veris Extract,84787-68-8,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
873,레이디스맨틀추출물,성모초추출물(Alchemilla Vulgaris Extract),Alchemilla Vulgaris Extract,84695-94-3,"수렴제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
874,서양톱풀추출물,Achillea Millefolium (EU);Milfoil Extract;Yarrow Extract;Yarrow herb (Achillea millefolium L.) (RIFM),Achillea Millefolium Extract,84082-83-7,"착향제, 피부컨디셔닝제(기타)",B,C,BC,,,H317,,,,,유사EWG,,,,,
875,말로우꽃/잎/줄기추출물,당아욱꽃/잎/줄기추출물,Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract,84082-57-5,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
876,레몬밤잎추출물,,Melissa Officinalis Leaf Extract,84082-61-1,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,C,AC,,,H317,,,H318,,유사EWG,,,,,
877,스피드웰꽃/잎/줄기추출물,꼬리풀꽃/잎/줄기추출물 (Veronica Officinalis Flower/Leaf/Stem Extract),Veronica Officinalis Flower/Leaf/Stem Extract,85117-19-7,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
878,폴리글리세릴-10스테아레이트,"Decaglyceryl Monostearate;Octadecanoic Acid, Monoester with Decaglycerol",Polyglyceryl-10 Stearate,9009-32-9;79777-30-3,"피부컨디셔닝제, 계면활성제-유화제",A,C,AC,,,,,,,,,,,,,
879,폴록사머407,poloxalene (INN);poloxamer (INN),Poloxamer 407,9003-11-06,"계면활성제-유화제, 계면활성제-용해보조제",A,C,AC,,,,,,,,,,,,,
880,디에칠헥실카보네이트,다이에틸헥실카보네이트,Diethylhexyl Carbonate,14858-73-2,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
881,귀리단백질추출물,,Avena Sativa (Oat) Protein Extract,,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
882,카페오일에스에이치-옥타펩타이드-4,Caffeoyl Octapeptide-4,Caffeoyl sh-Octapeptide-4 ,,"산화방지제, 피부보호제 ",,,,,,,,,,,,,,,,
883,다이소듐코코-글루코사이드시트레이트,디소듐코코-글루코사이드시트레이트(Disodium Coco-Glucoside Citrate),Disodium Coco-Glucoside Citrate,,계면활성제(유화제),,,,,,,,,,,,,,,,
884,소듐코코일알라니네이트,"l-Alanine, N-Cocoyl Acyl Derivs., Sodium Salts",Sodium Cocoyl Alaninate,90170-45-9,"모발컨디셔닝제, 계면활성제-세정제",A,C,AC,,,,,,H318,,,,,,,
885,카프릴/카프라미도프로필베타인,,Capryl/Capramidopropyl Betaine,,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제), 계면활성제(거품촉진제), 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
886,판테닐에칠에텔,판테닐에틸에터,Panthenyl Ethyl Ether,667-83-4,헤어컨디셔닝제,A,C,AC,,,,,,,,,,,,,
887,피피지-14부틸에텔,피피지-14부틸에터,PPG-14 Butyl Ether,9003-13-8,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
888,스핑고리피드,,Sphingolipids,85116-74-1,피부컨디셔닝제(기타),B,B,BB,,,,,,,,,,,,,
889,펜타에리스리틸테트라에칠헥사노에이트,펜타에리스리틸테트라에칠헥사노에이트 (Pentaerythrityl Tetraethylhexanoate) ,Pentaerythrityl Tetraethylhexanoate,7299-99-2,"결합제, 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",A,C,AC,,,,,,,,,,,,,
890,효모/겨우살이발효추출물,Saccharomyces/Mistletoe Ferment Extract,Saccharomyces/Viscum Album (Mistletoe) Ferment Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
891,효모/모근발효추출물,효모/띠뿌리발효추출물,Saccharomyces/Imperata Cylindrica Root Ferment Extract,,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
892,락토바실러스/콩발효추출물,락토바실러스/소이빈발효추출물(Lactobacillus/Soybean Ferment Extract),Lactobacillus/Soybean Ferment Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
893,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸다우레이트코폴리머,"	하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머(Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer)",Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer ,111286-86-3,"유화안정제, 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
894,동백나무꽃추출물,동백꽃추출물(Camellia Japonica Flower Extract),Camellia Japonica Flower Extract,223748-13-8,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
895,피이지-120메틸글루코오스디올리에이트,피이지-120메칠글루코오스디올리에이트 (PEG-120 Methyl Glucose Dioleate) ,PEG-120 Methyl Glucose Dioleate ,86893-19-8,계면활성제(세정제) ,B,C,BC,,,H317,,,,,,,,,,
896,마치현추출물,쇠비름추출물,Portulaca Oleracea Extract,90083-07-1,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,유사EWG,,,,,
897,동백오일,동백나무씨오일,Camellia Japonica Seed Oil,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
898,동백꽃추출물,동백나무꽃추출물,Camellia Japonica Flower Extract,223748-13-8,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
899,헥산다이올,헥산디올(Hexanediol),Hexanediol,26762-52-7;629-11-8,용제,A,C,AC,,,,,,,,,,,,,
900,옥틸도데실미리스테이트,"Myristic Acid, 2-Octyldodecyl Ester;2-Octyldodecyl Myristate;Tetradecanoic Acid, Octyldodecyl Ester;Tetradecanoic Acid, 2-Octyldodecyl Ester",Octyldodecyl Myristate,22766-83-2;83826-43-1,수분증발차단제,A,C,AC,,,,,,,,,,,,,
901,C20-22알킬포스페이트,"Phosphoric acid, mixed docosyl and eicosyl esters",C20-22 Alkyl Phosphate,84962-18-5,계면활성제-유화제,A,C,AC,,,,,,,,,,,,,
902,C20-22알코올,,C20-22 Alcohols,90604-34-5,"결합제, 유화안정제, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
903,피이지-8라우레이트,"Dodecanoic Acid, 23-Hydroxy-3,6,9,12,15,18,21-Heptaoxatricos-1-yl Ester;23-Hydroxy-3,6,9,12,15,18,21-Heptaoxatricos-1-yl Dodecanoate;Octaethylene Glycol Laurate;Polyethylene Glycol 400 Monolaurate;Polyoxyethylene (8) Monolaurate",PEG-8 Laurate,9004-81-3;35179-86-3,계면활성제-유화제,B,C,BC,,,,,,,,,,,,,
904,폴리글리세릴-2트리아이소스테아레이트,폴리글리세릴-2트리이소스테아레이트 (Polyglyceryl-2 Triisostearate) ,Polyglyceryl-2 Triisostearate ,120486-24-0,"피부컨디셔닝제(유연제), 계면활성제(유화제), 용제 ",A,C,AC,,,,,,,,,,,,,
905,피토스테릴/옥틸도데실라우로일글루타메이트,"L-Glutamic acid, N-(1-oxododecyl)-, mixed (3β, 24R)-ergost-5-en-3-yl and 2-octyldodecyl and (3β, 22E)-stigmasta-5,22-dien-3-yl and (3β)-stigmast-5-en-3-yl esters ",Phytosteryl/Octyldodecyl Lauroyl Glutamate ,220465-88-3,수분증발차단제,A,C,AC,,,,,,,,,,,,,
906,슈크로오스팔미테이트,수크로오스팔미테이트,Sucrose Palmitate,26446-38-8;39300-95-3,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
907,메틸트라이메티콘,메칠트리메치콘 (Methyl Trimethicone),Methyl Trimethicone,17928-28-8,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 용제",A,C,AC,,,,,,,,,,,,,
908,세테아릴이소노나노에이트,세테아릴아이소노나노에이트,Cetearyl Isononanoate,,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",A,C,AC,,,,,,,,,,,,,
909,실론시나몬추출물,"육계추출물(Cinnamomum Cassia Bark Extract, Cinnamomum Zeylanicum Bark Extract);실론시나몬추출물(Cinnamomum Zeylanicum Bark Extract)",Cinnamomum Zeylanicum Bark Extract,84649-98-9,"산화방지제, 수렴제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타), 피부보호제",B,B,BB,R,,H317,,,,,,,,,,
910,루이보스추출물,,Aspalathus Linearis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
911,하이드롤라이즈드콩단백질,하이드롤라이즈드소이단백질(Hydrolyzed Soy Protein),Hydrolyzed Soy Protein,68607-88-5,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
912,바이오사카라이드검-1,,Biosaccharide Gum-1,178463-23-5,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
913,에델바이스추출물,,Leontopodium Alpinum Extract,391900-47-3,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
914,유자추출물,,Citrus Junos Fruit Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
915,클로브꽃추출물,caryophylli flos (EP);Clove bud extract (Eugenia spp.) (RIFM);Clove bud oleoresin (Eugenia spp.) (RIFM);Clove Flower Extract;Cloves (Eugenia spp.) (RIFM);Eugenia Caryophyllus Extract,Eugenia Caryophyllus (Clove) Flower Extract,84961-50-2,향료,B,B,BB,,,H317,,,,,,,,,,
916,아세틸헥사펩타이드-8,,Acetyl Hexapeptide-8,616204-22-9,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,,,,,,
917,팔미토일펜타펩타이드-4,"팔미토일펜타펩타이드-3(Palmitoyl Pentapeptide-3);L-Serine, N2-(1-oxohexadecyl)-L-lysyl-L-threonyl-L-seryl-L-lysyl-;L-Serine, N2-(1-oxohexadecyl)-L-lysyl-L-threonyl-L-threonyl-L-lysyl-",Palmitoyl Pentapeptide-4,214047-00-4;521091-64-5,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
918,한련초잎추출물,,Eclipta Prostrata Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
919,콩배아추출물,돌콩배아추출물,Glycine Soja (Soybean) Germ Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
920,흰무늬엉겅퀴씨추출물,,Silybum Marianum Seed Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
921,모과추출물,,Chaenomeles Sinensis Fruit Extract,,"산화방지제, 수렴제, 모발컨디셔닝제, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제",A,C,AC,,,,,,,,유사EWG,,,,,
922,옥죽추출물,각시둥굴레뿌리줄기/뿌리추출물,Polygonatum Officinale Rhizome/Root Extract,90082-98-7,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
923,녹용추출물,,Velvet Extract,,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,,,,,,
924,맥문동추출물,소엽맥문동뿌리추출물,Ophiopogon Japonicus Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
925,봉의꼬리추출물,,Pteris Multifida Extract,,"산화방지제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
926,아티초크잎추출물,,Cynara Scolymus (Artichoke) Leaf Extract,84012-14-6,피부컨디셔닝제(기타),A,C,AC,,,H317,,,,,유사EWG,,,,,
927,하수오뿌리추출물,하수오추출물 (Polygonum Multiflorum Root Extract),Polygonum Multiflorum Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
928,창출추출물,모창출뿌리추출물,Atractylodes Lancea Root Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
929,프랑스해안송껍질추출물,,Pinus Pinaster Bark Extract,,산화방지제,A,C,AC,,,,,,,,유사EWG,,,,,
930,다이메틸설폰,디메칠설폰(Dimethyl Sulfone),Dimethyl Sulfone,67-71-0,"용제, 점도감소제",A,C,AC,,,,,,,,,,,,,
931,폴리쿼터늄-51,"3,5,8-Triox-4-Phosphaundec-10-en-1-aminium, 4-Hydroxy-N,N,N,10-Tetramethyl-9-Oxo, Inner Salt, 4-Oxide, Polymer with Butyl 2-Methyl-2-Propenoate",Polyquaternium-51,125275-25-4,"피막형성제, 피부보습제",A,C,AC,,,,,,,,,,1,,,
932,프룩토올리고사카라이드,,Fructooligosaccharides,308066-66-2,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,,,,,,
933,일라이트,,Illite,12173-60-3,"스크럽제, 흡수제, 안티케이킹제, 벌킹제",A,C,AC,,,,,,,,,,,,,
934,하이드롤라이즈드하이알루로닉애씨드,,Hydrolyzed Hyaluronic Acid ,,"헤어컨디셔닝제, 피부컨디셔닝제(보습제)",,,,,,,,,,,,,,,,
935,몬모릴로나이트,,Montmorillonite,1318-93-0,"스크럽제, 흡수제, 벌킹제, 유화안정제, 불투명화제, 점증제-수용성",A,B,AB,,,,,,H318,,,,,,,
936,실크아미노산,,Silk Amino Acids,65072-01-7,"모발컨디셔닝제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
937,칼사이트,,Calcite,13397-26-7,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
938,갈락토미세스발효여과물,,Galactomyces Ferment Filtrate,,피부컨디셔닝제(보습제),,,,,,,,,,,,,,,,
939,락토바실러스발효여과물,,Lactobacillus Ferment Filtrate,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
940,진흙버섯추출물,상황버섯추출물 (Phellinus Linteus Extract),Phellinus Linteus Extract,,"산화방지제, 수렴제, 피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
941,산뽕나무잎추출물,Mulberry Extract;Mulberry Leaf Extract;Mulberry (Morus Bombycis) Extract,Morus Bombycis Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
942,대추나무잎추출물,Zizyphus Jujuba Leaf Extract;Jujube (Zizyphus Jujuba) Leaf Extract,Ziziphus Jujuba Leaf Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
943,소듐라우릴설포아세테이트,"Acetic Acid, Sulfo-, 1-Dodecyl Ester, Sodium Salt;Dodecyl Sodium Sulfoacetate;Sulfoacetic Acid, 1-Dodecyl Ester, Sodium Salt",Sodium Lauryl Sulfoacetate,1847-58-1,계면활성제-세정제,A,C,AC,,,,,,H318,,,,,,,
944,브로콜리싹추출물,,Brassica Oleracea Italica (Broccoli) Sprout Extract,223749-36-8,피부유연화제,,,,,,,,,,,,,,,,
945,제주조릿대추출물,,Sasa Quelpaertensis Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
946,수국잎추출물,Hydrangea Extract;Hydrangea (Hydrangea Macrophylla) Extract,Hydrangea Macrophylla Leaf Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
947,하이드로제네이티드폴레데센,"1-Decene, Homopolymer, Hydrogenated",Hydrogenated Polydecene,68037-01-4,"향료, 모발컨디셔닝제, 피부유연화제, 피부컨디셔닝제, 용제",A,C,AC,,,,,,,,,,,,,
948,감국꽃추출물,,Chrysanthemum Indicum Flower Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
949,당느릅나무뿌리추출물,느릅나무뿌리추출물 (Ulmus Davidiana Root Extract),Ulmus Davidiana Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
950,토마토캘러스배양추출물,,Solanum Lycopersicum (Tomato) Callus Culture Extract,,"산화방지제, 피부보호제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
951,산초나무잎추출물,,Zanthoxylum Schinifolium Leaf Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
952,측백나무추출물,Platycladus Orientalis Extract,Thuja Orientalis Extract,,"항산화제, 수렴제, 모발컨디셔닝제, 피부유연화제, 보습제, 피부보호제",A,C,AC,,,,,,,,,,,,,
953,니코티노일트라이펩타이드-1,니코티노일트리펩타이드-1 (Nicotinoyl Tripeptide-1),Nicotinoyl Tripeptide-1,,"산화방지제, 피부보호제",,,,,,,,,,,,,,,,
954,연꽃캘러스배양추출물,,Nelumbo Nucifera Callus Culture Extract,,"산화방지제, 피부컨디셔닝제(보습제)",,,,,,,,,,,,,,,,
955,명일엽추출물,신선초추출물,Angelica Keiskei Extract,,"산화방지제, 수렴제, 피부보호제, 피부컨디셔닝제(유연제)",A,C,AC,,,,,,,,,,,,,
