고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
2136,팔미토일글라이신,,Palmitoyl Glycine,,"헤어컨디셔닝제, 계면활성제(세정제)",A,C,AC,,,,,,,,,,,,,
2137,자목련싹추출물,신이추출물 (Magnolia Liliflora Bud Extract),Magnolia Liliflora Bud Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2138,글리세릴폴리메타크릴레이트,,Glyceryl Polymethacrylate,28474-30-8;146126-21-8,피막형성제,A,C,AC,,,,,,,,,,,,,
2139,수크로오스다이스테아레이트,슈크로오스디스테아레이트 (Sucrose Distearate),Sucrose Distearate,27195-16-0,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
2140,다이메티콘/다이비닐다이메티콘/실세스퀴옥세인크로스폴리머,디메치콘/디비닐디메치콘/실세스퀴옥산크로스폴리머(Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer),Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer,,"안티케이킹제, 보습제, 피부보호제, 점도증가제(비수성)",,,,,,,,,,,,,,,,
2141,폴리솔베이트40,폴리소르베이트40 (Polysorbate 40),Polysorbate 40,9005-66-7,"계면활성제(유화제), 계면활성제(용해보조제)",B,C,BC,,,,,,,,유사EWG,,,,,
2142,방풍추출물,방풍뿌리추출물,Saposhnikovia Divaricata Root Extract;Ledebouriella Seseloides Root Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
2143,세라마이드1,세라마이드이오피,Ceramide EOP,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
2144,향기제비꽃오일,Sweet Violet Oil;Sweet Violet (Viola Odorata) Oil,Viola Odorata Oil,,착향제,A,C,AC,,,,,,,,,,,,,
2145,하이드롤라이즈드마카뿌리,,Hydrolyzed Lepidium Meyenii Root,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2146,시호추출물,북시호추출물,Bupleurum Chinensis Root Extract,89958-12-3,수렴제,A,C,AC,,,H317,,,,,,,,,,
2147,침향추출물,침향나무줄기추출물,Aquilaria Agallocha Stem Extract;Aquilaria Malaccensis Stem Extract,,"피부컨디셔닝제(기타), 산화방지제",A,C,AC,,,,,,,,,,,,,
2148,오레가노꽃/잎/줄기추출물,오레가노잎/꽃/줄기추출물 (Origanum Vulgare Flower/Leaf/Stem Extract),Origanum Vulgare Flower/Leaf/Stem Extract,84012-24-8,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
2149,불가리스쑥오일,쑥오일(Artemisia Vulgaris Oil),Artemisia Vulgaris Oil,68991-20-8,피부컨디셔닝제(기타),A,C,AC,,,H317,,,,,,,,,,
2150,라우릴피이지-10트리스(트라이메틸실록시)실릴에틸다이메티콘,라우릴피이지-10트리스(트리메칠실록시)실릴에칠디메치콘,Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone ,1365118-01-9,계면활성제(유화제),,,,,,,,,,,,,,,,
2151,드럼스틱씨추출물,드럼스틱나무씨추출물(Moringa Pterygosperma Seed Extract),Moringa Oleifera Seed Extract;Moringa Pterygosperma Seed Extract,93165-54-9,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
2152,자몽껍질추출물,,Citrus Paradisi (Grapefruit) Peel Extract,90045-43-5,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2153,오레가노잎오일,,Origanum Vulgare Leaf Oil,84012-24-8,감미제,,,,,,,,,,,,,,,,
2154,트라이메틸롤프로판트라이카프릴레이트/트라이카프레이트,트리메칠올프로판트리카프릴레이트/트리카프레이트 (Trimethylolpropane Tricaprylate/Tricaprate) ,Trimethylolpropane Tricaprylate/Tricaprate ,68956-08-1,피부컨디셔닝제(수분차단제) ,A,C,AC,,,,,,,,,,,,,
2155,천문동추출물,,Asparagus Cochinchinensis Extract,,피부보호제,,,,,,,,,,,,,,,,
2156,미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,,Myristoyl/Palmitoyl Oxostearamide/Arachamide MEA ,,"모발컨디셔닝제, 피부보습제",,,,,,,,,,,,,,,,
2157,선플라워오일데실에스터,해바라기오일데실에스터,Sunflower Oil Decyl Esters,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2158,엘라스틴,,Elastin,9007-58-3,"헤어컨디셔닝제
피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
2159,버지니아풍년화잎수,위치하젤잎수(Hamamelis Virginiana (Witch Hazel) Leaf Water),Hamamelis Virginiana (Witch Hazel) Leaf Water,,"수렴제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
2160,암모늄아크릴로일다이메틸타우레이트,,,,,,,,,,,,,,,,,,,,
2161,메틸하이드로제네이티드로지네이트,메칠하이드로제네이티드로지네이트 (Methyl Hydrogenated Rosinate) ,Methyl Hydrogenated Rosinate ,8050-15-5,"착향제, 피부컨디셔닝제(유연제), 점도증가제(비수성) ",A,C,AC,,,H317,,,,,,,,,,
2162,사과씨오일,,Pyrus Malus (Apple ) Seed Oil,,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
2163,저단선줄기추출물,,Opuntia Humifusa Stem Extract,,"산화방지제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
