고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
135,부틸렌글라이콜,Butylene glycol,107-88-0,"향료, 피부컨디셔닝제, 용제, 점도감소제",,,,,,,,,,,,G,,,,,,,,H335,,,,,
136,유자추출물,Citrus Junos fruit extract,,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
137,고삼추출물,Sophora angustifolia root extract,164288-54-4,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
138,유칼립투스잎추출물,Eucalyptus globulus leaf extract,84625-32-1,"피부컨디셔닝제, 수분증발차단제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
139,자몽추출물,Citrus Paradisi (Grapefruit) Fruit Extract ,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
140,모란뿌리추출물,Paeonia Suffruticosa Root Extract,223747-88-4,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
141,락토바실러스/의이인효소,Lactobacillus/Yokuinin Enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,락토바실러스/검정콩효소,Lactobacillus/Glycine Max Enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,효모/보리씨발효여과물,Saccharomyces/Barley Seed Ferment Filtrate ,,피부보습제,,,,,,,,,,,,,,,,,,,,,,,,,
144,레몬오일,Citrus Limon (Lemon) Fruit Oil,8008-56-8,수렴제,C,S,S,X,S,,,,,,,,,,,,,,,,H317,,,,
145,감초추출물,Glycyrrhiza Glabra (Licorice) Root Extract,84775-66-6 ,"산화방지제, 피부보습제, 피부컨디셔닝제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
146,라임추출물,Citrus Aurantifolia (Lime) Fruit Extract,90063-52-8,피부컨디셔닝제,C,S,S,X,S,,,,,,,,,,,,,,,,,,,,
147,피톤치드오일,Phytoncide Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,스피룰리나추출물,Spirulina Platensis Extract,223751-80-2,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
149,알로에베라잎추출물,Aloe Barbadensis Leaf Extract,85507-69-3,"보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 산화방지제, 피부컨디셔닝제(보습제)",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
150,소르비탄올리베이트,Sorbitan Olivate,223706-40-9,계면활성제(유화제),,,,,,,,,,,,,,,,,,,,,,,,,
151,세테아릴올리베이트,Cetearyl Olivate,,수분증발차단제,,,,,,,,,,,,,,,,,,,,,,,,,
152,지치추출물,Lithospermum Erythrorhizon Extract ,90063-58-4,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
153,소이빈레시틴,Soyabean Lecithin,8002-43-5,"피부컨디셔닝제, 계면활성제-유화제",D,S,X,X,X,,,,,,,G,,,,,,사용량/사용방법에 따라 C~D등급,,H335,,,,,
154,피마자오일,Ricinus Communis (Castor) Seed Oil ,8001-79-4,"향료, 수분증발차단제",,,,,,,,,,,,G,,,,,,,,,,,,,
155,고추냉이잎추출물,Wasabia Japonica Leaf Extract ,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
156,창과감초뿌리추출물,Glycyrrhiza Inflata Root Extract,,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
157,부톡시다이글라이콜,Butoxydiglycol ,112-34-5,"착향제, 용제, 점도감소제",F,M,S,S,S,,,S,,,1,Y,,,,,,사용량/사용방법에 따라 C~F등급,,H335,H314,,,,
158,티몰프탈레인,Thymolphthalein,125-20-2,,,,,,,,,,,,,,,,,,,,,,,H361,H350,,
159,세바식애씨드,Sebacic acid (Decanedioic Acid),111-20-6,pH 조절제,,,,,,,,,,,,,,,,,,,,,,,,,
160,톨리트리아졸,Tolytriazole,29385-43-1,부식방지제,D,X,X,X,X,,,,,,1,,,,,,,,,,H317,,,H318,
161,부탄,Butane,106-97-8,분사제,C,X,X,X,X,,,,,,1,,,,,,,,,,,,,,
162,프로판,Propane,74-98-6,분사제,C,X,X,X,X,S,,,,,1,,,,,,,,,,,H361,H350,,
163,이소부탄,Isobutane,75-28-5 ,분사제,C,X,X,X,X,,,,,,1,,,,,,,,,,,,,,
164,칼슘카보네이트(CI 77220),Calcium carbonate(CI 77220),471-34-1,"스크럽제, pH 완충제, 벌킹제, 불투명화제",C,X,X,X,X,,,,,,,G,,,,,,,,H335,,,,H318,
165,제올라이트,Zeolites,1318-02-1,"흡수제, 탈취제",C,X,X,X,X,,,,,,,G,,,,,,사용량/사용방법에 따라 B~C등급,,,,,H350,,
